"numeroAnexo","descAnexo","item","cest","ncms","descricao"
"Anexo IX","Ferramentas","16.0","0801600","[""820900""]","""Outras plaquetas, varetas, pontas e objetos semelhantes para ferramentas, não montados, de ceramais (""""cermets""""), exceto as classificadas no CEST 08.015.00"""
"Anexo IX","Ferramentas","17.0","0801700","[""8211""]","Facas de lâmina cortante ou serrilhada, incluídas as podadeiras de lâmina móvel, e suas lâmicas, exceto as de uso doméstico"
"Anexo IX","Ferramentas","18.0","0801800","[""8213""]","Tesouras e suas lâminas"
"Anexo IX","Ferramentas","19.0","0801900","[""8467""]","Ferramentas pneumáticas, hidráulicas ou com motor (elétrico ou não elétrico) incorporado, de uso manual"
"Anexo IX","Ferramentas","20.0","0802000","[""9015""]","""Instrumentos e aparelhos de geodésia, topografia, agrimensura, nivelamento, fotogrametria, hidrografia, oceanografia, hidrologia, meteorologia ou de geofísica, exceto bussolas; telêmetros"""
"Anexo IX","Ferramentas","21.0","0802100","[""90172000"",""901730"",""901780"",""90179090""]","""Instrumentos de desenho, de traçado ou de cálculo; metros, micrômetros, paquímetros, calibres e semelhantes; partes e acessórios"""
"Anexo IX","Ferramentas","22.0","0802200","[""90251190"",""90259010""]","Termômetros, suas partes e acessórios"
"Anexo IX","Ferramentas","23.0","0802300","[""902519 "",""90259090""]","Pirômetros, suas partes e acessórios"
"Anexo X","Lâmpadas, reatores e “starter”","1.0","0900100","[""8539""]","Lâmpadas elétricas"
"Anexo X","Lâmpadas, reatores e “starter”","2.0","0900200","[""8540""]","Lâmpadas eletrônicas"
"Anexo X","Lâmpadas, reatores e “starter”","3.0","0900300","[""85041000""]","Reatores para lâmpadas ou tubos de descargas"
"Anexo X","Lâmpadas, reatores e “starter”","4.0","0900400","[""853650""]","“Starter”"
"Anexo X","Lâmpadas, reatores e “starter”","5.0","0900500","[""85437099""]","Lâmpadas de LED (Diodos Emissores de Luz)"
"Anexo XI","Materiais de construção e congêneres","1.0","1000100","[""2522""]","Cal"
"Anexo XI","Materiais de construção e congêneres","2.0","1000200","[""3816001"",""38245000""]","Argamassas"
"Anexo XI","Materiais de construção e congêneres","3.0","1000300","[""32149000""]","Outras argamassas"
"Anexo XI","Materiais de construção e congêneres","4.0","1000400","[""391000""]","Silicones em formas primárias, para uso na construção"
"Anexo XI","Materiais de construção e congêneres","5.0","1000500","[""3916""]","""Revestimentos de PVC e outros plásticos; forro, sancas e afins de PVC, para uso na construção"""
"Anexo XI","Materiais de construção e congêneres","6.0","1000600","[""3917""]","Tubos, e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos, para uso na construção"
"Anexo XI","Materiais de construção e congêneres","7.0","1000700","[""3918""]","Revestimento de pavimento de PVC e outros plásticos"
"Anexo XI","Materiais de construção e congêneres","8.0","1000800","[""3919""]","Chapas, folhas, tiras, fitas, películas e outras formas planas, auto-adesivas, de plásticos, mesmo em rolos, para uso na construção"
"Anexo XI","Materiais de construção e congêneres","9.0","1000900","[""3919"",""3920"",""3921""]","Veda rosca, lona plástica para uso na construção, fitas isolantes e afins"
"Anexo XI","Materiais de construção e congêneres","10.0","1001000","[""3921""]","Telha de plástico, mesmo reforçada com fibra de vidro"
"Anexo XI","Materiais de construção e congêneres","11.0","1001100","[""3921""]","Cumeeira de plástico, mesmo reforçada com fibra de vidro"
"Anexo XI","Materiais de construção e congêneres","12.0","1001200","[""3921""]","Chapas, laminados plásticos em bobina, para uso na construção, exceto os descritos nos CEST 10.010.00 e 10.011.00"
"Anexo XI","Materiais de construção e congêneres","13.0","1001300","[""3922""]","Banheiras, boxes para chuveiros, pias, lavatórios, bidês, sanitários e seus assentos e tampas, caixas de descarga e artigos semelhantes para usos sanitários ou higiênicos, de plásticos"
"Anexo XI","Materiais de construção e congêneres","14.0","1001400","[""3924""]","Artefatos de higiene/toucador de plástico, para uso na construção"
"Anexo XI","Materiais de construção e congêneres","15.0","1001500","[""39251000""]","Caixa d’água, inclusive sua tampa, de plástico, mesmo reforçadas com fibra de vidro"
"Anexo XI","Materiais de construção e congêneres","16.0","1001600","[""392590""]","Outras telhas, cumeeira e caixa d’água, inclusive sua tampa, de plástico, mesmo reforçadas com fibra de vidro"
"Anexo XI","Materiais de construção e congêneres","17.0","1001700","[""39251000"",""392590""]","Artefatos para apetrechamento de construções, de plásticos, não especificados nem compreendidos em outras posições, incluindo persianas, sancas, molduras, apliques e rosetas, caixilhos de polietileno e outros plásticos, exceto os descritos nos CEST 10.015.00 e 10.016.00"
"Anexo XI","Materiais de construção e congêneres","18.0","1001800","[""39252000""]","Portas, janelas e seus caixilhos, alizares e soleiras"
"Anexo XI","Materiais de construção e congêneres","19.0","1001900","[""39253000""]","Postigos, estores (incluídas as venezianas) e artefatos semelhantes e suas partes"
"Anexo XI","Materiais de construção e congêneres","20.0","1002000","[""392690""]","Outras obras de plástico, para uso na construção"
"Anexo XI","Materiais de construção e congêneres","21.0","1002100","[""4814""]","""Papel de parede e revestimentos de parede semelhantes; papel para vitrais"""
"Anexo XI","Materiais de construção e congêneres","22.0","1002200","[""68101900""]","Telhas de concreto"
"Anexo XI","Materiais de construção e congêneres","23.0","1002300","[""6811""]","Telha, cumeeira e caixa d’água, inclusive sua tampa, de fibrocimento, cimento-celulose"
"Anexo XI","Materiais de construção e congêneres","24.0","1002400","[""6811""]","Caixas d'água, tanques e reservatórios e suas tampas, telhas, calhas, cumeeiras e afins, de fibrocimento, cimento-celulose ou semelhantes, contendo ou não amianto, exceto os descritos no item 23.0"
"Anexo XI","Materiais de construção e congêneres","25.0","1002500","[""69010000""]","""Tijolos, placas (lajes), ladrilhos e outras peças cerâmicas de farinhas siliciosas fósseis (""""kieselghur"""", tripolita, diatomita, por exemplo) ou de terras siliciosas semelhantes"""
"Anexo XI","Materiais de construção e congêneres","26.0","1002600","[""6902""]","Tijolos, placas (lajes), ladrilhos e peças cerâmicas semelhantes, para uso na construção, refratários, que não sejam de farinhas siliciosas fósseis nem de terras siliciosas semelhantes"
"Anexo XI","Materiais de construção e congêneres","27.0","1002700","[""6904""]","Tijolos para construção, tijoleiras, tapa-vigas e produtos semelhantes, de cerâmica"
"Anexo XI","Materiais de construção e congêneres","28.0","1002800","[""6905""]","Telhas, elementos de chaminés, condutores de fumaça, ornamentos arquitetônicos, de cerâmica, e outros produtos cerâmicos para uso na construção"
"Anexo XI","Materiais de construção e congêneres","29.0","1002900","[""69060000""]","Tubos, calhas ou algerozes e acessórios para canalizações, de cerâmica"
"Anexo XI","Materiais de construção e congêneres","30.0","1003000","[""6907"",""6908""]","Ladrilhos e placas de cerâmica, exclusivamente para pavimentação ou revestimento"
"Anexo XI","Materiais de construção e congêneres","30.1","1003001","[""6907"",""6908""]","Cubos, pastilhas e artigos semelhantes de cerâmica, mesmo com suporte."
"Anexo XI","Materiais de construção e congêneres","31.0","1003100","[""6910""]","Pias, lavatórios, colunas para lavatórios, banheiras, bidês, sanitários, caixas de descarga, mictórios e aparelhos fixos semelhantes para usos sanitários, de cerâmica"
"Anexo XI","Materiais de construção e congêneres","32.0","1003200","[""69120000""]","Artefatos de higiene/toucador de cerâmica"
"Anexo XI","Materiais de construção e congêneres","33.0","1003300","[""7003""]","Vidro vazado ou laminado, em chapas, folhas ou perfis, mesmo com camada absorvente, refletora ou não, mas sem qualquer outro trabalho"
"Anexo XI","Materiais de construção e congêneres","34.0","1003400","[""7004""]","Vidro estirado ou soprado, em folhas, mesmo com camada absorvente, refletora ou não, mas sem qualquer outro trabalho"
"Anexo XI","Materiais de construção e congêneres","35.0","1003500","[""7005""]","Vidro flotado e vidro desbastado ou polido em uma ou em ambas as faces, em chapas ou em folhas, mesmo com camada absorvente, refletora ou não, mas sem qualquer outro trabalho"
"Anexo XI","Materiais de construção e congêneres","36.0","1003600","[""70071900""]","Vidros temperados"
"Anexo XI","Materiais de construção e congêneres","37.0","1003700","[""70072900""]","Vidros laminados"
"Anexo XI","Materiais de construção e congêneres","38.0","1003800","[""7008""]","Vidros isolantes de paredes múltiplas"
"Anexo XI","Materiais de construção e congêneres","39.0","1003900","[""7016""]","""Blocos, placas, tijolos, ladrilhos, telhas e outros artefatos, de vidro prensado ou moldado, mesmo armado, para uso na construção; cubos, pastilhas e outros artigos semelhantes"""
"Anexo XI","Materiais de construção e congêneres","40.0","1004000","[""72142000""]","Barras próprias para construções, exceto vergalhões"
"Anexo XI","Materiais de construção e congêneres","41.0","1004100","[""73089010""]","Outras barras próprias para construções, exceto vergalhões"
"Anexo XI","Materiais de construção e congêneres","42.0","1004200","[""72142000""]","Vergalhões"
"Anexo XI","Materiais de construção e congêneres","43.0","1004300","[""7213"",""73089010""]","Outros vergalhões"
"Anexo XI","Materiais de construção e congêneres","44.0","1004400","[""72171090"",""7312""]","""Fios de ferro ou aço não ligados, não revestidos, mesmo polidos; cordas, cabos, tranças (entrançados), lingas e artefatos semelhantes, de ferro ou aço, não isolados para usos elétricos"""
"Anexo XI","Materiais de construção e congêneres","45.0","1004500","[""72172010""]","Outros fios de ferro ou aço, não ligados, galvanizados com um teor de carbono superior ou igual a 0,6%, em peso"
"Anexo XI","Materiais de construção e congêneres","45.1","1004501","[""72172090""]","Outros fios de ferro ou aço, não ligados, galvanizados"
"Anexo XI","Materiais de construção e congêneres","46.0","1004600","[""7307""]","Acessórios para tubos (inclusive uniões, cotovelos, luvas ou mangas), de ferro fundido, ferro ou aço"
"Anexo XI","Materiais de construção e congêneres","47.0","1004700","[""73083000""]","Portas e janelas, e seus caixilhos, alizares e soleiras de ferro fundido, ferro ou aço"
"Anexo XI","Materiais de construção e congêneres","48.0","1004800","[""73084000"",""730890""]","Material para andaimes, para armações (cofragens) e para escoramentos, (inclusive armações prontas, para estruturas de concreto armado ou argamassa armada), eletrocalhas e perfilados de ferro fundido, ferro ou aço, próprios para construção, exceto treliças de aço"
"Anexo XI","Materiais de construção e congêneres","49.0","1004900","[""73084000""]","Treliças de aço"
"Anexo XI","Materiais de construção e congêneres","50.0","1005000","[""73089090""]","Telhas metálicas"
"Anexo XI","Materiais de construção e congêneres","51.0","1005100","[""7310""]","""Caixas diversas (tais como caixa de correio, de entrada de água, de energia, de instalação) de ferro fundido, ferro ou aço; próprias para a construção"""
"Anexo XI","Materiais de construção e congêneres","52.0","1005200","[""73130000""]","Arame farpado, de ferro ou aço, arames ou tiras, retorcidos, mesmo farpados, de ferro ou aço, dos tipos utilizados em cercas"
"Anexo XI","Materiais de construção e congêneres","53.0","1005300","[""7314""]","Telas metálicas, grades e redes, de fios de ferro ou aço"
"Anexo XI","Materiais de construção e congêneres","54.0","1005400","[""73151100""]","Correntes de rolos, de ferro fundido, ferro ou aço"
"Anexo XI","Materiais de construção e congêneres","55.0","1005500","[""73151290""]","Outras correntes de elos articulados, de ferro fundido, ferro ou aço"
"Anexo XI","Materiais de construção e congêneres","56.0","1005600","[""73158200""]","Correntes de elos soldados, de ferro fundido, de ferro ou aço"
"Anexo XI","Materiais de construção e congêneres","57.0","1005700","[""731700""]","Tachas, pregos, percevejos, escápulas, grampos ondulados ou biselados e artefatos semelhantes, de ferro fundido, ferro ou aço, mesmo com a cabeça de outra matéria, exceto cobre"
"Anexo XI","Materiais de construção e congêneres","58.0","1005800","[""7318""]","Parafusos, pinos ou pernos, roscados, porcas, tira-fundos, ganchos roscados, rebites, chavetas, cavilhas, contrapinos, arruelas (incluídas as de pressão) e artefatos semelhantes, de ferro fundido, ferro ou aço"
"Anexo XI","Materiais de construção e congêneres","59.0","1005900","[""7323""]","Palha de ferro ou aço, exceto os de uso doméstico classificados na posição NCM 7323.10.00"
"Anexo XI","Materiais de construção e congêneres","59.1","1005901","[""7323""]","Esponjas, esfregões, luvas e artefatos semelhantes para limpeza, polimento e usos semelhantes, de ferro ou aço, exceto os de uso doméstico classificados na posição NCM 7323.10.00"
"Anexo XI","Materiais de construção e congêneres","60.0","1006000","[""7324""]","Artefatos de higiene ou de toucador, e suas partes, de ferro fundido, ferro ou aço, incluídas as pias, banheiras, lavatórios, cubas, mictórios, tanques e afins de ferro fundido, ferro ou aço, para uso na construção"
"Anexo XI","Materiais de construção e congêneres","61.0","1006100","[""7325""]","Outras obras moldadas, de ferro fundido, ferro ou aço, para uso na construção"
"Anexo XI","Materiais de construção e congêneres","62.0","1006200","[""7326""]","Abraçadeiras"
"Anexo XI","Materiais de construção e congêneres","63.0","1006300","[""7407""]","Barras de cobre"
"Anexo XI","Materiais de construção e congêneres","64.0","1006400","[""74111010""]","Tubos de cobre e suas ligas, para instalações de água quente e gás, para uso na construção"
"Anexo XI","Materiais de construção e congêneres","65.0","1006500","[""7412""]","Acessórios para tubos (por exemplo, uniões, cotovelos, luvas ou mangas) de cobre e suas ligas, para uso na construção"
"Anexo XI","Materiais de construção e congêneres","66.0","1006600","[""7415""]","Tachas, pregos, percevejos, escápulas e artefatos semelhantes, de cobre, ou de ferro ou aço com cabeça de cobre, parafusos, pinos ou pernos, roscados, porcas, ganchos roscados, rebites, chavetas, cavilhas, contrapinos, arruelas (incluídas as de pressão), e artefatos semelhantes, de cobre"
"Anexo XI","Materiais de construção e congêneres","67.0","1006700","[""74182000""]","Artefatos de higiene/toucador de cobre, para uso na construção"
"Anexo XI","Materiais de construção e congêneres","68.0","1006800","[""76071990""]","Manta de subcobertura aluminizada"
"Anexo XI","Materiais de construção e congêneres","69.0","1006900","[""7608""]","Tubos de alumínio e suas ligas, para refrigeração e ar condicionado, para uso na construção"
"Anexo XI","Materiais de construção e congêneres","70.0","1007000","[""76090000""]","Acessórios para tubos (por exemplo, uniões, cotovelos, luvas ou mangas), de alumínio, para uso na construção"
"Anexo XI","Materiais de construção e congêneres","71.0","1007100","[""7610""]","""Construções e suas partes (por exemplo, pontes e elementos de pontes, torres, pórticos ou pilones, pilares, colunas, armações, estruturas para telhados, portas e janelas, e seus caixilhos, alizares e soleiras, balaustradas), de alumínio, exceto as construções pré-fabricadas da posição 9406; chapas, barras, perfis, tubos e semelhantes, de alumínio, próprios para construções"""
"Anexo XI","Materiais de construção e congêneres","72.0","1007200","[""76152000""]","Artefatos de higiene/toucador de alumínio, para uso na construção"
"Anexo XI","Materiais de construção e congêneres","73.0","1007300","[""7616""]","Outras obras de alumínio, próprias para construções, incluídas as persianas"
"Anexo XI","Materiais de construção e congêneres","74.0","1007400","[""83024100""]","Outras guarnições, ferragens e artigos semelhantes de metais comuns, para construções, inclusive puxadores."
"Anexo XI","Materiais de construção e congêneres","75.0","1007500","[""8301""]","""Fechaduras e ferrolhos (de chave, de segredo ou elétricos), de metais comuns, incluídas as suas partes fechos e armações com fecho, com fechadura, de metais comuns chaves para estes artigos, de metais comuns; exceto os de uso automotivo"""
"Anexo XI","Materiais de construção e congêneres","76.0","1007600","[""83021000""]","Dobradiças de metais comuns, de qualquer tipo"
"Anexo XI","Materiais de construção e congêneres","77.0","1007700","[""8307""]","Tubos flexíveis de metais comuns, mesmo com acessórios, para uso na construção"
"Anexo XI","Materiais de construção e congêneres","78.0","1007800","[""8311""]","Fios, varetas, tubos, chapas, eletrodos e artefatos semelhantes, de metais comuns ou de carbonetos metálicos, revestidos exterior ou interiormente de decapantes ou de fundentes, para soldagem (soldadura) ou depósito de metal ou de carbonetos metálicos fios e varetas de pós de metais comuns aglomerados, para metalização por projeção"
"Anexo XI","Materiais de construção e congêneres","79.0","1007900","[""8481""]","Torneiras, válvulas (incluídas as redutoras de pressão e as termostáticas) e dispositivos semelhantes, para canalizações, caldeiras, reservatórios, cubas e outros recipientes"
"Anexo XI","Materiais de construção e congêneres","80.0","1008000","[""7009""]","Espelhos de vidro, mesmo emoldurados, exceto os de uso automotivo"
"Anexo XII","Materiais de limpeza","1.0","1100100","[""28289011"",""28289019"",""32064100"",""34022000"",""38089419""]","Água sanitária, branqueador e outros alvejantes"
"Anexo XII","Materiais de limpeza","2.0","1100200","[""34012090""]","Sabões em pó, flocos, palhetas, grânulos ou outras formas semelhantes, para lavar roupas"
"Anexo XII","Materiais de limpeza","3.0","1100300","[""34012090""]","Sabões líquidos para lavar roupas"
"Anexo XII","Materiais de limpeza","4.0","1100400","[""34022000""]","Detergentes em pó, flocos, palhetas, grânulos ou outras formas semelhantes"
"Anexo XII","Materiais de limpeza","5.0","1100500","[""34022000""]","Detergentes líquidos, exceto para lavar roupa"
"Anexo XII","Materiais de limpeza","6.0","1100600","[""34022000""]","Detergente líquido para lavar roupa"
"Anexo XII","Materiais de limpeza","7.0","1100700","[""3402""]","""Outros agentes orgânicos de superfície (exceto sabões); preparações tensoativas, preparações para lavagem (incluídas as preparações auxiliares para lavagem) e preparações para limpeza (inclusive multiuso e limpadores), mesmo contendo sabão, exceto os produtos descritos nos CEST 11.004.00, 11.005.00 e 11.006.00; em embalagem de conteúdo inferior ou igual a 50 litros ou 50 kg"""
"Anexo XII","Materiais de limpeza","8.0","1100800","[""38099190""]","Amaciante/suavizante"
"Anexo XII","Materiais de limpeza","9.0","1100900","[""39241000"",""39249000"",""68053010"",""68053090""]","Esponjas para limpeza"
"Anexo XII","Materiais de limpeza","10.0","1101000","[""2207"",""22089000""]","Álcool etílico para limpeza"
"Anexo XII","Materiais de limpeza","11.0","1101100","[""73231000""]","""Esponjas e palhas de aço; esponjas para limpeza, polimento ou uso semelhantes; todas de uso doméstico"""
"Anexo XII","Materiais de limpeza","12.0","1101200","[""39232""]","Sacos de lixo de conteúdo igual ou inferior a 100 litros"
"Anexo XIII","Materiais elétricos","1.0","1200100","[""8504""]","""Transformadores, bobinas de reatância e de autoindução, inclusive os transformadores de potência superior a 16 KVA, classificados nas posições 8504.33.00 e 8504.34.00; exceto os demais transformadores da subposição 8504.3, os reatores para lâmpadas elétricas de descarga classificados no código 8504.10.00, os carregadores de acumuladores do código 8504.40.10, os equipamentos de alimentação ininterrupta de energia (UPS ou “no break”), no código 8504.40.40 e os de uso automotivo"""
"Anexo XIII","Materiais elétricos","2.0","1200200","[""8516""]","""Aquecedores elétricos de água, incluídos os de imersão, chuveiros ou duchas elétricos, torneiras elétricas, resistências de aquecimento, inclusive as de duchas e chuveiros elétricos e suas partes; exceto outros fornos, fogareiros (incluídas as chapas de cocção), grelhas e assadeiras, classificados na posição 8516.60.00"""
"Anexo XIII","Materiais elétricos","3.0","1200300","[""8535""]","Aparelhos para interrupção, seccionamento, proteção, derivação, ligação ou conexão de circuitos elétricos (por exemplo, interruptores, comutadores, corta-circuitos, para-raios, limitadores de tensão, eliminadores de onda, tomadas de corrente e outros conectores, caixas de junção), para tensão superior a 1.000V, exceto os de uso automotivo"
"Anexo XIII","Materiais elétricos","4.0","1200400","[""8536""]","""Aparelhos para interrupção, seccionamento, proteção, derivação, ligação ou conexão de circuitos elétricos (por exemplo, interruptores, comutadores, relés, corta-circuitos, eliminadores de onda, plugues e tomadas de corrente, suportes para lâmpadas e outros conectores, caixas de junção), para uma tensão não superior a 1.000V; conectores para fibras ópticas, feixes ou cabos de fibras ópticas; exceto """"starter"""" classificado na subposição 8536.50 e os de uso automotivo"""
"Anexo XIII","Materiais elétricos","5.0","1200500","[""8538""]","Partes reconhecíveis como exclusiva ou principalmente destinadas aos aparelhos das posições 8535 e 8536"
"Anexo XIII","Materiais elétricos","6.0","1200600","[""74130000""]","Cabos, tranças e semelhantes, de cobre, não isolados para usos elétricos, exceto os de uso automotivo"
"Anexo XIII","Materiais elétricos","7.0","1200700","[""8544"",""7605"",""7614""]","""Fios, cabos (incluídos os cabos coaxiais) e outros condutores, isolados ou não, para usos elétricos (incluídos os de cobre ou alumínio, envernizados ou oxidados anodicamente), mesmo com peças de conexão, inclusive fios e cabos elétricos, para tensão não superior a 1000V, para uso na construção; fios e cabos telefônicos e para transmissão de dados; cabos de fibras ópticas, constituídos de fibras embainhadas individualmente, mesmo com condutores elétricos ou munidos de peças de conexão; cordas, cabos, tranças e semelhantes, de alumínio, não isolados para uso elétricos; exceto os de uso automotivo"""
"Anexo XIII","Materiais elétricos","8.0","1200800","[""8546""]","Isoladores de qualquer matéria, para usos elétricos"
"Anexo XIII","Materiais elétricos","9.0","1200900","[""8547""]","""Peças isolantes inteiramente de matérias isolantes, ou com simples peças metálicas de montagem (suportes roscados, por exemplo) incorporadas na massa, para máquinas, aparelhos e instalações elétricas; tubos isoladores e suas peças de ligação, de metais comuns, isolados interiormente"""
"Anexo XIV","Uso humano ou veterinário","1.0","1300100","[""3003"",""3004""]","Medicamentos de referência - positiva, exceto para uso veterinário"
"Anexo XIV","Uso humano ou veterinário","1.1","1300101","[""3003"",""3004""]","Medicamentos de referência - negativa, exceto para uso veterinário"
"Anexo XIV","Uso humano ou veterinário","1.2","1300102","[""3003"",""3004""]","Medicamentos de referência - neutra, exceto para uso veterinário"
"Anexo XIV","Uso humano ou veterinário","2.0","1300200","[""3003"",""3004""]","Medicamentos genérico - positiva, exceto para uso veterinário"
"Anexo XIV","Uso humano ou veterinário","2.1","1300201","[""3003"",""3004""]","Medicamentos genérico - negativa, exceto para uso veterinário"
"Anexo XIV","Uso humano ou veterinário","2.2","1300202","[""3003"",""3004""]","Medicamentos genérico - neutra, exceto para uso veterinário"
"Anexo XIV","Uso humano ou veterinário","3.0","1300300","[""3003"",""3004""]","Medicamentos similar - positiva, exceto para uso veterinário"
"Anexo XIV","Uso humano ou veterinário","3.1","1300301","[""3003"",""3004""]","Medicamentos similar - negativa, exceto para uso veterinário"
"Anexo XIV","Uso humano ou veterinário","3.2","1300302","[""3003"",""3004""]","Medicamentos similar - neutra, exceto para uso veterinário"
"Anexo XIV","Uso humano ou veterinário","4.0","1300400","[""3003"",""3004""]","Outros tipos de medicamentos - positiva, exceto para uso veterinário"
"Anexo XIV","Uso humano ou veterinário","4.1","1300401","[""3003"",""3004""]","Outros tipos de medicamentos -  negativa, exceto para uso veterinário"
"Anexo XIV","Uso humano ou veterinário","4.2","1300402","[""3003"",""3004""]","Outros tipos de medicamentos - neutra, exceto para uso veterinário"
"Anexo XIV","Uso humano ou veterinário","5.0","1300500","[""30066000""]","Preparações químicas contraceptivas à base de hormônios, de outros produtos da posição 29.37 ou de espermicidas - positiva"
"Anexo XIV","Uso humano ou veterinário","5.1","1300501","[""30066000""]","Preparações químicas contraceptivas à base de hormônios, de outros produtos da posição 29.37 ou de espermicidas - negativa"
"Anexo XIV","Uso humano ou veterinário","6.0","1300600","[""2936""]","Provitaminas e vitaminas, naturais ou reproduzidas por síntese (incluídos os concentrados naturais), bem como os seus derivados utilizados principalmente como vitaminas, misturados ou não entre si, mesmo em quaisquer soluções - neutra"
"Anexo XIV","Uso humano ou veterinário","7.0","1300700","[""300630""]","Preparações opacificantes (contrastantes) para exames radiográficos e reagentes de diagnóstico concebidos para serem administrados ao paciente - positiva"
"Anexo XIV","Uso humano ou veterinário","7.1","1300701","[""300630""]","Preparações opacificantes (contrastantes) para exames radiográficos e reagentes de diagnóstico concebidos para serem administrados ao paciente - negativa"
"Anexo XIV","Uso humano ou veterinário","8.0","1300800","[""3002""]","Antissoro, outras frações do sangue, produtos imunológicos modificados, mesmo obtidos por via biotecnológica, exceto para uso veterinário - positiva"
"Anexo XIV","Uso humano ou veterinário","8.1","1300801","[""3002""]","Antissoro, outras frações do sangue, produtos imunológicos modificados, mesmo obtidos por via biotecnológica, exceto para uso veterinário - negativa"
"Anexo XIV","Uso humano ou veterinário","9.0","1300900","[""3002""]","""Vacinas e produtos semelhantes, exceto para uso veterinário - positiva;"""
"Anexo XIV","Uso humano ou veterinário","9.1","1300901","[""3002""]","""Vacinas e produtos semelhantes, exceto para uso veterinário - negativa;"""
"Anexo XIV","Uso humano ou veterinário","10.0","1301000","[""30051010""]","Curativos (pensos) adesivos e outros artigos com uma camada adesiva, impregnados ou recobertos de substâncias farmacêuticas - Lista Positiva"
"Anexo XIV","Uso humano ou veterinário","10.1","1301001","[""30051010""]","Curativos (pensos) adesivos e outros artigos com uma camada adesiva, impregnados ou recobertos de substâncias farmacêuticas - Lista Negativa"
"Anexo XIV","Uso humano ou veterinário","11.0","1301100","[""3005""]","Algodão, atadura, esparadrapo, gazes, pensos, sinapismos, e outros, acondicionados para venda a retalho para usos medicinais, cirúrgicos ou dentários, não impregnados ou recobertos de substâncias farmacêuticas - Lista Neutra"
"Anexo XIV","Uso humano ou veterinário","12.0","1301200","[""40151100"",""40151900""]","Luvas cirúrgicas e luvas de procedimento - neutra"
"Anexo XIV","Uso humano ou veterinário","13.0","1301300","[""40141000""]","Preservativo - neutra"
"Anexo XIV","Uso humano ou veterinário","14.0","1301400","[""901831""]","Seringas, mesmo com agulhas - neutra"
"Anexo XIV","Uso humano ou veterinário","15.0","1301500","[""9018321""]","Agulhas para seringas - neutra"
"Anexo XIV","Uso humano ou veterinário","16.0","1301600","[""39269090"",""90189099""]","Contraceptivos (dispositivos intra-uterinos - DIU) - neutra"
"Anexo XV","Papéis, plásticos, produtos cerâmicos e vidros","1.0","1400100","[""7013""]","Objetos de vidro para serviço de mesa ou de cozinha"
"Anexo XV","Papéis, plásticos, produtos cerâmicos e vidros","2.0","1400200","[""70133700""]","Outros copos, exceto de vitrocerâmica"
"Anexo XV","Papéis, plásticos, produtos cerâmicos e vidros","3.0","1400300","[""70134290""]","Objetos para serviço de mesa (exceto copos) ou de cozinha, exceto de vitrocerâmica"
"Anexo XV","Papéis, plásticos, produtos cerâmicos e vidros","4.0","1400400","[""3919"",""3920"",""3921""]","Lonas plásticas, exceto as para uso na construção"
"Anexo XV","Papéis, plásticos, produtos cerâmicos e vidros","5.0","1400500","[""3924""]","Artefatos de higiene/toucador de plástico, exceto os para uso na construção"
"Anexo XV","Papéis, plásticos, produtos cerâmicos e vidros","6.0","1400600","[""39241000""]","Serviços de mesa e outros utensílios de mesa ou de cozinha, de plástico, inclusive os descartáveis"
"Anexo XV","Papéis, plásticos, produtos cerâmicos e vidros","7.0","1400700","[""69111010""]","Artigos para serviço de mesa ou de cozinha, de porcelana, inclusive os descartáveis - estojos"
"Anexo XV","Papéis, plásticos, produtos cerâmicos e vidros","8.0","1400800","[""69111090""]","Artigos para serviço de mesa ou de cozinha, de porcelana, inclusive os descartáveis - avulsos"
"Anexo XV","Papéis, plásticos, produtos cerâmicos e vidros","9.0","1400900","[""69120000""]","Artigos para serviço de mesa ou de cozinha, de cerâmica"
"Anexo XV","Papéis, plásticos, produtos cerâmicos e vidros","10.0","1401000","[""69120000""]","Velas para filtros"
"Anexo XV","Papéis, plásticos, produtos cerâmicos e vidros","11.0","1401100","[""4823209""]","Filtros descartáveis para coar café ou chá"
"Anexo XV","Papéis, plásticos, produtos cerâmicos e vidros","12.0","1401200","[""48236""]","Bandejas, travessas, pratos, xícaras ou chávenas, taças, copos e artigos semelhantes, de papel ou cartão"
"Anexo XV","Papéis, plásticos, produtos cerâmicos e vidros","13.0","1401300","[""48131000""]","Papel para cigarro"
"Anexo XVII","Pneumáticos, câmaras de ar e protetores de borracha","1.0","1600100","[""40111000""]","Pneus novos, dos tipos utilizados em automóveis de passageiros (incluídos os veículos de uso misto - camionetas e os automóveis de corrida)"
"Anexo XVII","Pneumáticos, câmaras de ar e protetores de borracha","2.0","1600200","[""4011""]","Pneus novos, dos tipos utilizados em caminhões (inclusive para os fora-de-estrada), ônibus, aviões, máquinas de terraplenagem, de construção e conservação de estradas, máquinas e tratores agrícolas, pá-carregadeira"
"Anexo XVII","Pneumáticos, câmaras de ar e protetores de borracha","3.0","1600300","[""40114000""]","Pneus novos para motocicletas"
"Anexo XVII","Pneumáticos, câmaras de ar e protetores de borracha","4.0","1600400","[""4011""]","Outros tipos de pneus novos, exceto os itens classificados no CEST 16.005.00"
"Anexo XVII","Pneumáticos, câmaras de ar e protetores de borracha","5.0","1600500","[""40115000""]","Pneus novos de borracha dos tipos utilizados em bicicletas"
